"CategoryName","ProductName","num_of_buys"
Dairy Products,Raclette Courdavault,54
Dairy Products,Gorgonzola Telino,51
Dairy Products,Camembert Pierrot,51
Beverages,Guaranב Fantבstica,51
Grains/Cereals,Gnocchi di nonna Alice,50
Confections,Tarte au sucre,48
Seafood,Jack's New England Clam Chowder,47
Beverages,Rhצnbrהu Klosterbier,46
Beverages,Chang,44
Confections,Pavlova,43
Dairy Products,Flotemysost,42
Seafood,Boston Crab Meat,41
Seafood,Konbu,40
Confections,Sir Rodney's Scones,39
Beverages,Outback Lager,39
Produce,Manjimup Dried Apples,39
Beverages,Lakkalikצצri,39
Dairy Products,Mozzarella di Giovanni,38
Condiments,Original Frankfurter grne Soe,38
Beverages,Chai,38
Dairy Products,Queso Cabrales,38
Confections,Teatime Chocolate Biscuits,37
Meat/Poultry,Alice Mutton,37
Meat/Poultry,Tourtiטre,36
Beverages,Steeleye Stout,36
Confections,Scottish Longbreads,34
Produce,Rצssle Sauerkraut,33
Meat/Poultry,Pגtי chinois,33
Seafood,Ikura,33
Seafood,Nord-Ost Matjeshering,32
Condiments,Louisiana Fiery Hot Pepper Sauce,32
Dairy Products,Geitost,32
Confections,Gumbהr Gummibהrchen,32
Meat/Poultry,Thringer Rostbratwurst,32
Seafood,Inlagd Sill,31
Dairy Products,Gudbrandsdalsost,31
Grains/Cereals,Singaporean Hokkien Fried Mee,30
Meat/Poultry,Perth Pasties,30
Beverages,Chartreuse verte,30
Grains/Cereals,Wimmers gute Semmelknצdel,30
Produce,Uncle Bob's Organic Dried Pears,29
Grains/Cereals,Filo Mix,29
Beverages,Ipoh Coffee,28
Seafood,Carnarvon Tigers,27
Seafood,Spegesild,27
Condiments,Gula Malacca,24
Condiments,Sirop d'יrable,24
Beverages,Cפte de Blaye,24
Grains/Cereals,Ravioli Angelo,23
Produce,Tofu,22
Confections,Maxilaku,21
Confections,Zaanse koeken,21
Grains/Cereals,Tunnbrצd,20
Condiments,Chef Anton's Cajun Seasoning,20
Beverages,Sasquatch Ale,19
Confections,NuNuCa Nu-Nougat-Creme,18
Seafood,Escargots de Bourgogne,18
Condiments,Vegie-spread,17
Confections,Sir Rodney's Marmalade,16
Dairy Products,Mascarpone Fabioli,15
Grains/Cereals,Gustaf's Knהckebrצd,14
Seafood,Rצd Kaviar,14
Seafood,Rogede sild,14
Dairy Products,Queso Manchego La Pastora,14
Produce,Longlife Tofu,13
Condiments,Northwoods Cranberry Sauce,13
Condiments,Aniseed Syrup,12
Condiments,Grandma's Boysenberry Spread,12
Confections,Valkoinen suklaa,10
Beverages,Laughing Lumberjack Lager,10
Condiments,Chef Anton's Gumbo Mix,10
Confections,Schoggi Schokolade,9
Condiments,Louisiana Hot Spiced Okra,8
Confections,Chocolade,6
Condiments,Genen Shouyu,6
Seafood,Gravad lax,6
Meat/Poultry,Mishi Kobe Niku,5
