"ProductName","profit"
Cפte de Blaye,"149984.2000"
Thringer Rostbratwurst,"87736.4000"
Raclette Courdavault,"76296.0000"
Camembert Pierrot,"50286.0000"
Tarte au sucre,"49827.9000"
Gnocchi di nonna Alice,"45121.2000"
Manjimup Dried Apples,"44742.6000"
Alice Mutton,"35482.2000"
Carnarvon Tigers,"31987.5000"
Rצssle Sauerkraut,"26865.6000"
Mozzarella di Giovanni,"25738.8000"
Ipoh Coffee,"25079.2000"
Gudbrandsdalsost,"24307.2000"
Sir Rodney's Marmalade,"23635.8000"
Wimmers gute Semmelknצdel,"23009.0000"
Uncle Bob's Organic Dried Pears,"22464.0000"
Ikura,"22140.2000"
Gumbהr Gummibהrchen,"21534.9000"
Perth Pasties,"21510.2000"
Flotemysost,"20876.5000"
Pגtי chinois,"19512.0000"
Boston Crab Meat,"19048.3000"
Pavlova,"18748.0500"
Chang,"18559.2000"
Vegie-spread,"17696.3000"
Lakkalikצצri,"16794.0000"
Sirop d'יrable,"16438.8000"
Gorgonzola Telino,"16172.5000"
Schoggi Schokolade,"15231.5000"
Nord-Ost Matjeshering,"14775.5400"
Louisiana Fiery Hot Pepper Sauce,"14607.0000"
Inlagd Sill,"14542.6000"
Steeleye Stout,"14536.8000"
Chai,"14277.6000"
Queso Cabrales,"13902.0000"
Northwoods Cranberry Sauce,"13760.0000"
Chartreuse verte,"13150.8000"
Queso Manchego La Pastora,"12866.8000"
Outback Lager,"11472.0000"
Gula Malacca,"10524.2000"
Original Frankfurter grne Soe,"9685.0000"
Sir Rodney's Scones,"9636.0000"
Maxilaku,"9500.0000"
Chef Anton's Cajun Seasoning,"9424.8000"
Scottish Longbreads,"9362.5000"
Singaporean Hokkien Fried Mee,"9332.4000"
Mascarpone Fabioli,"9171.2000"
Jack's New England Clam Chowder,"9098.1000"
Mishi Kobe Niku,"8827.0000"
Rhצnbrהu Klosterbier,"8650.5500"
Tofu,"8630.4000"
Ravioli Angelo,"7807.8000"
Grandma's Boysenberry Spread,"7345.0000"
Gustaf's Knהckebrצd,"7232.4000"
Sasquatch Ale,"6678.0000"
Escargots de Bourgogne,"6664.7500"
Teatime Chocolate Biscuits,"6159.5000"
Spegesild,"6144.0000"
Chef Anton's Gumbo Mix,"5801.1500"
Konbu,"5234.4000"
Tourtiטre,"5121.0000"
Tunnbrצd,"4840.2000"
Guaranב Fantבstica,"4782.6000"
Rogede sild,"4740.5000"
Zaanse koeken,"4358.6000"
Rצd Kaviar,"4200.0000"
NuNuCa Nu-Nougat-Creme,"4051.6000"
Louisiana Hot Spiced Okra,"3519.0000"
Valkoinen suklaa,"3510.0000"
Filo Mix,"3383.8000"
Aniseed Syrup,"3080.0000"
Gravad lax,"3047.2000"
Longlife Tofu,"2566.0000"
Laughing Lumberjack Lager,"2562.0000"
Genen Shouyu,"1813.5000"
Geitost,"1713.5000"
Chocolade,"1542.7500"
